,file_name,time,procs_per_node,nodes,seconds,speedup
0,1_2_2,3:55.47,1,2,235,1.504255319148936
1,1_4_4,2:07.51,1,4,127,2.783464566929134
2,1_8_8,1:08.17,1,8,68,5.198529411764706
3,2_2_4,2:07.54,2,2,127,2.783464566929134
4,2_4_8,1:08.18,2,4,68,5.198529411764706
5,2_8_16,0:37.22,2,8,37,9.554054054054054
6,3_4_12,0:47.64,3,4,47,7.5212765957446805
7,3_8_24,0:36.75,3,8,36,9.819444444444445
8,4_16_64,0:22.40,4,16,22,16.068181818181817
9,4_32_128,0:25.26,4,32,25,14.14
10,4_8_32,0:21.46,4,8,21,16.833333333333332
